Drivers	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
petrov	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	194.57	194.07	194.14	194.14	194.14	194.14
pic	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.83	200.27	200.27	200.27
piquet_jr	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	195.10	188.75	188.75	188.75	188.75	188.75	188.75	188.75
pizzonia	200.00	200.00	200.00	196.66	192.29	189.59	189.59	189.59	189.59	189.59	189.59	189.59	189.59	189.59	189.59	189.59
raikkonen	200.00	200.39	198.93	202.35	207.96	213.43	216.14	220.62	219.60	240.17	240.17	240.17	255.73	261.71	256.05	253.39
ralf_schumacher	201.24	200.43	199.86	199.03	196.12	195.43	193.61	192.09	192.09	192.09	192.09	192.09	192.09	192.09	192.09	192.09
resta	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.04	198.72	200.01	200.01	200.01
ricciardo	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.64	201.24	201.08	203.67	204.34
rosa	198.23	199.17	196.08	196.08	196.08	191.28	192.08	192.08	192.08	192.08	189.63	184.51	184.33	184.33	184.33	184.33
rosberg	200.00	200.00	200.00	200.00	200.00	200.00	197.29	204.87	207.84	213.02	214.39	213.93	212.17	214.33	212.63	211.42
rossi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.26
sainz	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.66
salo	203.21	203.21	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18	205.18
sato	200.00	200.00	195.23	191.90	187.10	181.09	181.40	181.28	179.95	179.95	179.95	179.95	179.95	179.95	179.95	179.95
